code,publication_date
42058,2019-08-16 00:00:00.000000000
82065,2019-08-19 00:00:00.000000000
44176,2019-08-20 00:00:00.000000000
64111,2019-08-21 00:00:00.000000000
68055,2019-08-27 00:00:00.000000000
43220,2019-08-27 00:00:00.000000000
42228,2019-08-28 00:00:00.000000000
30242,2019-09-04 00:00:00.000000000
24264,2019-09-05 00:00:00.000000000
84037,2019-09-06 00:00:00.000000000
84087,2019-09-10 00:00:00.000000000
42072,2019-09-30 00:00:00.000000000
30222,2019-10-04 00:00:00.000000000
11009,2019-10-07 00:00:00.000000000
24030,2019-10-07 00:00:00.000000000
24403,2019-10-09 00:00:00.000000000
29108,2019-10-11 00:00:00.000000000
38031,2019-10-16 00:00:00.000000000
29041,2019-10-17 00:00:00.000000000
24422,2019-10-22 00:00:00.000000000
24549,2019-10-22 00:00:00.000000000
29125,2019-10-29 00:00:00.000000000
43134,2019-11-02 00:00:00.000000000
57452,2019-11-05 00:00:00.000000000
05074,2019-11-07 00:00:00.000000000
44006,2019-11-12 00:00:00.000000000
37257,2019-11-12 00:00:00.000000000
24183,2019-11-13 00:00:00.000000000
42321,2019-11-13 00:00:00.000000000
42087,2019-11-15 00:00:00.000000000
03115,2019-11-18 00:00:00.000000000
64346,2019-11-20 00:00:00.000000000
64464,2019-11-20 00:00:00.000000000
05182,2019-11-20 00:00:00.000000000
64136,2019-11-21 00:00:00.000000000
42109,2019-11-21 00:00:00.000000000
69260,2019-11-21 00:00:00.000000000
69384,2019-11-25 00:00:00.000000000
64522,2019-11-27 00:00:00.000000000
64239,2019-11-29 00:00:00.000000000
24058,2019-12-02 00:00:00.000000000
60145,2019-12-10 00:00:00.000000000
69233,2019-12-11 00:00:00.000000000
64279,2019-12-12 00:00:00.000000000
64435,2019-12-12 00:00:00.000000000
24522,2019-12-13 00:00:00.000000000
64028,2019-12-16 00:00:00.000000000
64053,2019-12-16 00:00:00.000000000
64095,2019-12-16 00:00:00.000000000
64097,2019-12-16 00:00:00.000000000
64116,2019-12-16 00:00:00.000000000
64118,2019-12-16 00:00:00.000000000
64182,2019-12-16 00:00:00.000000000
64194,2019-12-16 00:00:00.000000000
64216,2019-12-16 00:00:00.000000000
64212,2019-12-16 00:00:00.000000000
64246,2019-12-16 00:00:00.000000000
64241,2019-12-16 00:00:00.000000000
64257,2019-12-16 00:00:00.000000000
64261,2019-12-16 00:00:00.000000000
64262,2019-12-16 00:00:00.000000000
64270,2019-12-16 00:00:00.000000000
64292,2019-12-16 00:00:00.000000000
64311,2019-12-16 00:00:00.000000000
64343,2019-12-16 00:00:00.000000000
64352,2019-12-16 00:00:00.000000000
64356,2019-12-16 00:00:00.000000000
64358,2019-12-16 00:00:00.000000000
64372,2019-12-16 00:00:00.000000000
64390,2019-12-16 00:00:00.000000000
64394,2019-12-16 00:00:00.000000000
64452,2019-12-16 00:00:00.000000000
64455,2019-12-16 00:00:00.000000000
64470,2019-12-16 00:00:00.000000000
64488,2019-12-16 00:00:00.000000000
64473,2019-12-16 00:00:00.000000000
69381,2019-12-16 00:00:00.000000000
64056,2019-12-17 00:00:00.000000000
42126,2019-12-18 00:00:00.000000000
42313,2019-12-19 00:00:00.000000000
42006,2019-12-26 00:00:00.000000000
77015,2019-12-29 00:00:00.000000000
68095,2020-01-01 00:00:00.000000000
68143,2020-01-01 00:00:00.000000000
68366,2020-01-01 00:00:00.000000000
68385,2020-01-01 00:00:00.000000000
64338,2020-01-07 00:00:00.000000000
19008,2020-01-08 00:00:00.000000000
64255,2020-01-09 00:00:00.000000000
64045,2020-01-13 00:00:00.000000000
64283,2020-01-13 00:00:00.000000000
64369,2020-01-13 00:00:00.000000000
24377,2020-01-14 00:00:00.000000000
31032,2020-01-15 00:00:00.000000000
60125,2020-01-15 00:00:00.000000000
24151,2020-01-15 00:00:00.000000000
60284,2020-01-15 00:00:00.000000000
31282,2020-01-15 00:00:00.000000000
31293,2020-01-15 00:00:00.000000000
40055,2020-01-16 00:00:00.000000000
01032,2020-01-16 00:00:00.000000000
60036,2020-01-17 00:00:00.000000000
60078,2020-01-17 00:00:00.000000000
60171,2020-01-17 00:00:00.000000000
60210,2020-01-17 00:00:00.000000000
43152,2020-01-20 00:00:00.000000000
60534,2020-01-20 00:00:00.000000000
60647,2020-01-20 00:00:00.000000000
12186,2020-01-21 00:00:00.000000000
69068,2020-01-22 00:00:00.000000000
64398,2020-01-23 00:00:00.000000000
